,P0,P0,P0,P0,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3,P4,P4,P4,P4,P5,P5,P5,P5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G3,0.9334,G3,0.9334,G2,0.9334,G2,0.9334,G2,0.8667,G2,0.8667,G1,0.6667,G1,0.6667,G0,0.6,G0,0.6,G0,0.6,G0,0.6
∅,G1,0.4000066666666666,G1,0.4000066666666666,G1,0.4000066666666666,G1,0.4000066666666666,G1,0.4000066666666666,G1,0.4000066666666666,G1,0.4000066666666666,G1,0.4000066666666666,G1,0.4000066666666666,G1,0.4000066666666666,G1,0.4000066666666666,G1,0.4000066666666666
Q1,G1,0.46955684668156966,G1,0.4690611167592418,G2,0.5098959213632736,G2,0.5093086228282738,G2,0.5098959213632736,G2,0.5093086228282738,G1,0.5161996834988362,G1,0.516199596405214,G1,0.46955684668156966,G1,0.4690611167592418,G1,0.4017987934852677,G1,0.4017363920568947
Q2,G1,0.4067241598817406,G1,0.4065703690511693,G0,0.41286228455013374,G0,0.412607680956694,G0,0.41286228455013374,G0,0.412607680956694,G1,0.4583224774113278,G1,0.4580724864184328,G0,0.41286228455013374,G0,0.412607680956694,G0,0.41286228455013374,G0,0.412607680956694
Q3,G1,0.44987222948148786,G1,0.4498721277910085,G2,0.45379427919197957,G2,0.45312915963389294,G2,0.45379427919197957,G2,0.45312915963389294,G1,0.46680266132445747,G1,0.4658878622025501,G0,0.44167131098309587,G0,0.44143470019108233,G1,0.46680266132445747,G1,0.4658878622025501
Q4,G1,0.48176333064112753,G1,0.48180448582879876,G2,0.5979683614481333,G2,0.5979820079581408,G2,0.5979683614481333,G2,0.5979820079581408,G1,0.5111632824565963,G1,0.510436851405482,G1,0.4653061234010879,G1,0.46542475036406067,G1,0.5260986589751365,G1,0.5255653264090399
