,P0,P0,P0,P0,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3,P4,P4,P4,P4,P5,P5,P5,P5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G0,0.86667,G0,0.86667,G3,0.46667,G3,0.46667,G0,1.0,G0,1.0,G2,0.8,G2,0.8,G3,1.0,G3,1.0,G3,1.0,G3,1.0
∅,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333
Q1,G0,0.8535426444713123,G0,0.8537349292636934,G3,0.46690599482835876,G3,0.46689785658645505,G0,0.9647437446614492,G0,0.9646369181403528,G2,0.7199044951897753,G2,0.7203741163780445,G3,0.9978240488970171,G3,0.9978240266059828,G3,0.9987835671845571,G3,0.9987822654657822
Q2,G0,0.8109658582960261,G0,0.8098553301224579,G3,0.5161150926728938,G3,0.5155922672959431,G0,0.8191914555658192,G0,0.8195427028770862,G2,0.7631428593512921,G2,0.7631567530051852,G3,0.9917318515763038,G3,0.9917427319626744,G3,0.9877453543395781,G3,0.9879095418369941
Q3,G0,0.6355213167513742,G0,0.6358634707377389,G3,0.40604226465098064,G3,0.40614957064923457,G0,0.8886362752002227,G0,0.889749734575747,G2,0.7816867269907205,G2,0.7816551847983975,G3,0.9982858624017376,G3,0.9982867152292332,G3,0.9986736217422175,G3,0.9986741410907504
Q4,G0,0.8510574615463298,G0,0.851907741672857,G3,0.5310679909811883,G3,0.5302434080886009,G0,0.8115035533409717,G0,0.7978386758691457,G2,0.775874510869845,G2,0.7766836234111757,G3,0.9885848795778241,G3,0.9885872338896482,G3,0.9926297523863858,G3,0.9925344482994878
