,P0,P0,P0,P0,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3,P4,P4,P4,P4,P5,P5,P5,P5
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G0,0.86667,G0,0.86667,G3,0.46667,G3,0.46667,G0,1.0,G0,1.0,G2,0.8,G2,0.8,G3,1.0,G3,1.0,G3,1.0,G3,1.0
∅,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333,G3,0.5777783333333333
Q1,G0,0.86667,G0,0.86667,G3,0.46667,G3,0.46667,G0,1.0,G0,1.0,G2,0.8,G2,0.8,G3,1.0,G3,1.0,G3,1.0,G3,1.0
Q2,G0,0.86667,G0,0.86667,G3,0.46667,G3,0.46667,G0,1.0,G0,1.0,G2,0.8,G2,0.8,G3,1.0,G3,1.0,G3,1.0,G3,1.0
Q3,G0,0.86667,G0,0.86667,G3,0.46667,G3,0.46667,G0,1.0,G0,1.0,G2,0.8,G2,0.8,G3,1.0,G3,1.0,G3,1.0,G3,1.0
Q4,G0,0.86667,G0,0.86667,G3,0.46667,G3,0.46667,G0,1.0,G0,1.0,G2,0.8,G2,0.8,G3,1.0,G3,1.0,G3,1.0,G3,1.0
