,P0,P0,P0,P0,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G2,1.0,G2,1.0,G2,1.0,G2,1.0,G0,0.9,G0,0.9,G3,0.7,G3,0.7
∅,G0,0.6,G0,0.6,G0,0.6,G0,0.6,G0,0.6,G0,0.6,G0,0.6,G0,0.6
Q1,G2,0.9079470786833697,G2,0.9083321658226108,G2,0.842861668017551,G2,0.8438772532179115,G0,0.8406370565827775,G0,0.8413782374871698,G0,0.5582119110200374,G0,0.5591958211851346
Q2,G2,0.9417612198737312,G2,0.942060115638502,G2,0.9440097320174706,G2,0.9443824310339808,G0,0.8664851091484668,G0,0.867824480630011,G3,0.6259870435754626,G3,0.6265567526015862
Q3,G0,0.7749459295995454,G0,0.7757122356695865,G2,0.7782723213514695,G2,0.7798744695796999,G0,0.7352040017241948,G0,0.7376403136371756,G0,0.6563066134346746,G0,0.651027955839141
Q4,G2,0.9452736450263198,G2,0.9457305722805814,G2,0.9662735083334097,G2,0.9666329476587905,G0,0.8363270608941795,G0,0.8383508550907982,G0,0.6465780408654894,G0,0.6458620584421015
