,P0,P0,P0,P0,P1,P1,P1,P1,P2,P2,P2,P2,P3,P3,P3,P3
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G2,1.0,G2,1.0,G2,1.0,G2,1.0,G0,0.9,G0,0.9,G3,0.7,G3,0.7
∅,G0,0.6,G0,0.6,G0,0.6,G0,0.6,G0,0.6,G0,0.6,G0,0.6,G0,0.6
Q1,G2,0.9561132123822498,G2,0.9561106363706187,G2,0.8483819880161964,G2,0.848809642500539,G0,0.8792336874930283,G0,0.8787693274464646,G3,0.52420368310308,G3,0.5250150431307383
Q2,G2,0.9930274833906036,G2,0.9930272696781973,G2,0.9931064137548152,G2,0.993103973808868,G0,0.8971957504897932,G0,0.8966401769116132,G3,0.6883404347058304,G3,0.688198448444784
Q3,G0,0.7671316601132315,G0,0.7671033803062397,G2,0.740306634292578,G2,0.740771974789479,G0,0.6944680176595345,G0,0.6944062092808799,G0,0.6932274481990521,G0,0.6927449688465819
Q4,G2,0.9949479699370061,G2,0.9949553206352613,G2,0.9992147244737274,G2,0.9992147480032257,G0,0.8359710430311595,G0,0.8359842968143163,G0,0.6644089947841918,G0,0.6641721902540763
