,P0,P0,P0,P0,P1,P1,P1,P1,P2,P2,P2,P2
,x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ'),x₉*,γ*(β'),xˆ₉*,γ*(βˆ')
true,G0,0.8,G0,0.8,G1,1.0,G1,1.0,G0,0.6,G0,0.6
∅,G0,0.7666666666666666,G0,0.7666666666666666,G0,0.7666666666666666,G0,0.7666666666666666,G0,0.7666666666666666,G0,0.7666666666666666
Q1,G0,0.7995838194863847,G0,0.7995777916554146,G1,0.9945772820864907,G1,0.993648531135467,G0,0.6022766679891117,G0,0.6022564383293224
Q2,G0,0.7966728742994692,G0,0.7966993728460066,G1,0.9986347969436072,G1,0.9984237269536628,G0,0.6033218559094096,G0,0.6037507108251919
Q3,G0,0.7996544371759488,G0,0.7996289888540715,G1,0.9744891757715255,G1,0.973710907632105,G0,0.6073451822056342,G0,0.6082229715317642
Q4,G0,0.7951004724767547,G0,0.7948934723073234,G1,0.9931285525969475,G1,0.9923610597387434,G0,0.6070070827046703,G0,0.6069393418816157
